Date and Time,OldOil
9/26/2018,0
9/27/2018,0
9/28/2018,0
9/29/2018,0
9/30/2018,0
10/1/2018,0
10/2/2018,0
10/3/2018,0
10/4/2018,0
10/5/2018,0
10/6/2018,0
10/7/2018,0
10/8/2018,0
10/9/2018,0
10/10/2018,0
10/11/2018,0
10/12/2018,0
10/13/2018,0
10/14/2018,0
10/15/2018,0
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0
10/21/2018,0
10/22/2018,0
10/23/2018,0
10/24/2018,349
10/25/2018,646
10/26/2018,1516
10/27/2018,1657
10/28/2018,2277
10/29/2018,2191
10/30/2018,2356
10/31/2018,2385
11/1/2018,1478
11/2/2018,1227
11/2/2018,
11/3/2018,1226
11/4/2018,1220
11/5/2018,1199
11/5/2018,
11/6/2018,1212
11/7/2018,1191
11/7/2018,
11/8/2018,1215
11/8/2018,
11/9/2018,1207
11/9/2018,
11/9/2018,
11/10/2018,1773
11/10/2018,
11/10/2018,
11/11/2018,1283
11/11/2018,
11/12/2018,1457
11/12/2018,
11/12/2018,
11/13/2018,1590
11/13/2018,
11/13/2018,
11/14/2018,1971
11/14/2018,
11/15/2018,1892
11/15/2018,
11/16/2018,1779
11/16/2018,
11/17/2018,1242
11/17/2018,
11/18/2018,1739
11/18/2018,
11/19/2018,1702
11/19/2018,
11/19/2018,
11/20/2018,1105
11/20/2018,
11/20/2018,
11/21/2018,1220
11/21/2018,
11/22/2018,1573
11/23/2018,1495
11/24/2018,1588
11/25/2018,1534
11/26/2018,1504
11/27/2018,1447
11/28/2018,1405
11/29/2018,1409
11/30/2018,1399
12/1/2018,1282
12/2/2018,1347
12/3/2018,1325
12/4/2018,1312
12/5/2018,1293
12/5/2018,
12/6/2018,1283
12/6/2018,
12/7/2018,1089
12/7/2018,
12/8/2018,822
12/8/2018,
12/9/2018,555
12/9/2018,
12/10/2018,1059
12/10/2018,
12/10/2018,
12/11/2018,949
12/11/2018,
12/11/2018,
12/12/2018,1229
12/12/2018,
12/13/2018,880
12/13/2018,
12/14/2018,926
12/14/2018,
12/14/2018,
12/15/2018,839
12/15/2018,
12/16/2018,1172
12/16/2018,
12/17/2018,1298
12/17/2018,
12/18/2018,1002
12/18/2018,
12/19/2018,1083
12/20/2018,1082
12/21/2018,786
12/22/2018,648
12/23/2018,192
12/24/2018,990
12/25/2018,752
12/25/2018,
12/26/2018,703
12/26/2018,
12/27/2018,556
12/27/2018,
12/28/2018,1103
12/28/2018,
12/29/2018,1056
12/30/2018,1007
12/31/2018,993
1/1/2019,983
1/2/2019,982
1/2/2019,
1/3/2019,951
1/3/2019,
1/4/2019,929
1/5/2019,826
1/5/2019,
1/6/2019,372
1/6/2019,
1/7/2019,460
1/7/2019,
1/8/2019,682
1/9/2019,710
1/9/2019,
1/10/2019,689
1/11/2019,681
1/12/2019,469
1/12/2019,
1/13/2019,398
1/13/2019,
1/14/2019,808
1/14/2019,
1/15/2019,713
1/15/2019,
1/16/2019,768
1/17/2019,562
1/18/2019,0
1/18/2019,
1/19/2019,0
1/20/2019,0
1/21/2019,0
1/22/2019,0
1/23/2019,0
1/24/2019,0
1/25/2019,0
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/30/2019,
1/31/2019,0
2/1/2019,0
2/2/2019,0
2/3/2019,0
2/4/2019,0
2/4/2019,
2/5/2019,169
2/5/2019,
2/6/2019,542
2/6/2019,
2/7/2019,640
2/7/2019,
2/8/2019,650
2/8/2019,
2/9/2019,710
2/10/2019,716
2/11/2019,727
2/12/2019,711
2/13/2019,759
2/14/2019,667
2/14/2019,
2/15/2019,779
2/16/2019,769
2/17/2019,777
2/18/2019,776
2/19/2019,775
2/20/2019,543
2/21/2019,743
2/22/2019,768
2/23/2019,777
2/23/2019,
2/24/2019,779
2/25/2019,755
2/26/2019,768
2/27/2019,755
2/27/2019,
2/28/2019,783
3/1/2019,614
3/1/2019,
3/2/2019,749
3/2/2019,
3/3/2019,755
3/4/2019,757
3/5/2019,742
3/6/2019,751
3/7/2019,728
3/8/2019,729
3/9/2019,731
3/10/2019,727
3/11/2019,626
3/11/2019,
3/12/2019,673
3/13/2019,720
3/14/2019,705
3/14/2019,
3/15/2019,696
3/15/2019,
3/15/2019,
3/15/2019,
3/15/2019,
3/16/2019,682
3/16/2019,
3/16/2019,
3/17/2019,678
3/17/2019,
3/18/2019,700
3/18/2019,
3/19/2019,657
3/19/2019,
3/19/2019,
3/19/2019,
3/20/2019,648
3/20/2019,
3/21/2019,659
3/21/2019,
3/22/2019,658
3/23/2019,681
3/24/2019,675
3/25/2019,671
3/26/2019,666
3/26/2019,
3/27/2019,661
3/28/2019,653
3/29/2019,649
3/30/2019,645
3/31/2019,644
4/1/2019,564
4/1/2019,
4/2/2019,634
4/3/2019,630
4/4/2019,632
4/5/2019,631
4/6/2019,640
4/7/2019,620
4/8/2019,633
4/9/2019,632
4/10/2019,632
4/11/2019,633
4/12/2019,634
4/13/2019,626
4/14/2019,624
4/15/2019,620
4/16/2019,612
4/17/2019,610
4/18/2019,38
4/18/2019,
4/19/2019,0
4/20/2019,0
4/21/2019,0
4/22/2019,0
4/22/2019,
4/23/2019,0
4/24/2019,0
4/24/2019,
4/25/2019,0
4/26/2019,0
4/27/2019,0
4/27/2019,
4/28/2019,0
4/29/2019,0
4/30/2019,0
5/1/2019,0
5/2/2019,0
5/2/2019,
5/3/2019,354
5/4/2019,665
5/5/2019,353
5/6/2019,561
5/7/2019,446
5/8/2019,599
5/8/2019,
5/9/2019,600
5/10/2019,565
5/11/2019,600
5/12/2019,593
5/13/2019,583
5/14/2019,435
5/14/2019,
5/15/2019,517
5/15/2019,
5/16/2019,585
5/16/2019,
5/17/2019,549
5/18/2019,583
5/19/2019,579
5/20/2019,562
5/21/2019,492
5/21/2019,
5/22/2019,548
5/23/2019,492
5/24/2019,268
5/24/2019,
5/25/2019,421
5/25/2019,
5/25/2019,
5/25/2019,
5/26/2019,537
5/26/2019,
5/27/2019,544
5/28/2019,556
5/29/2019,559
5/29/2019,
5/30/2019,551
5/31/2019,557
6/1/2019,513
6/1/2019,
6/2/2019,476
6/3/2019,513
6/3/2019,
6/4/2019,500
6/5/2019,498
