Formation,min,max,,
RUSTLER_T,656.79412,1047.19024,,
SALADO_T,1047.19024,2954.01203,,
CASTILE_T,2954.01203,4701.71797,,
DEL_MTN_GRP_T,4701.71797,8839.32234,,
BONE_SPRING_T,8839.32234,8931.29666,,
UAVLN_T,8931.29666,9818.38947,,
BSPG1_SD_T,9818.38947,10220.34002,,
BSPG2_LM_T,10220.34002,10888.22297,,
BSPG3_LM_T,10888.22297,11512.48227,,
BSPG3_SD_T,11512.48227,11898.05814,,
WFMP_T-WFMP_A_T,11898.05814,11926.3617,,
WFMP_ALPHA_W1SD_T,11926.3617,11978.43876,,
WFMP_ALPHA_W1SD_B,11978.43876,12044.55341,,
WFMP_ALPHA_W2SD_T,12044.55341,12098.65341,,
WFMP_ALPHA_W2SD_B,12098.65341,12121.78903,,
WFMP_BETA_T,12121.78903,12202.56763,,
WFMP_BETA_LM_T,12202.56763,12276.2879,,
WFMP_BETA_100_T,12276.2879,12339.35065,,
WFMP_BETA_150_T,12339.35065,12421.75804,,
WFMP_DELTA_T,12421.75804,12580,,
WFMP_DELTA_M_200_T,12580,12716.51569,,
WFMP_FOXTROT_T-WFMP_B_T,12716.51569,13100,,
