,Total fluid features,Total fluid features found in cuttings,well-unique fluid features,well-unique fluid features found in cuttings
silvertip.76.7.unit.a.3h,600,508,71,55
silvertip.76.7.unit.a.8h,818,689,89,64
silvertip.76.7.unit.a.1h,2402,1919,592,393
silvertip.76.7.unit.a.9h,738,618,106,67
bullhead.55.1.34.b.1h,52,46,1,1
silvertip.76.9 .unit.e.1h,188,165,20,16
wheat.trust.1.52.7h,56,46,2,1
thresher.54.1.7.1h,3702,2937,978,733
baku.56.2.41.1h,205,173,20,11
university.19.7.a.1h,332,284,21,14
cheyenne.57.3.13.1h,196,170,30,28
bullhead.55.1.22.1h,48,41,1,1
cottonwood.55.1.14.unit.2hr,194,165,10,9
mesquite.unit.2.2.3h,944,753,122,89
wheat.trust.1.52.6h,68,57,0,0
juniper.state.unit.2.3.2h,339,278,34,23
silvertip.76.7.unit.a.5h,398,341,33,26
juniper.state.unit.2.3.3h,375,314,29,23
silvertip.76.16.unit.r.1h,66,62,3,2
wheat.trust.1.52.4h,65,50,2,1
silvertip.76.16.unit.q.1h,1794,1502,356,277
cottonwood.55.1.14.1h,193,168,16,12
haley.28.43.3h,58,49,2,2
longhorn.55.1.30.unit.1h,500,448,46,38
silvertip.76.17.unit.o.1h,930,818,126,107
oak.55.1.30.unit.1h,178,162,9,8
silvertip.76.7.unit.a.2h,1150,963,187,134
wheat.trust.1.52.5h,110,90,10,8
juniper.state.2.3.1h,314,259,35,32
cottonwood.55.1.14.unit.3h,63,57,2,2
silvertip.76.7.unit.b.2h,148,135,8,7
thunderbird.57.2.3.1h,96,84,8,8
silvertip.76.7.unit.b.1h,671,575,65,47
silvertip.76.18.n.1h,39,36,2,2
rothschild.state.56.2.25.unit.2h,313,266,21,17
aspen.55.1.30.unit.3h,158,143,21,20
wheat.trust.1.52.1h,68,60,3,2
yellowjacket.ul.19.3.12h,195,157,12,8
hippocamp.57.1.29.1h,91,84,4,2
mesquite.unit.2.2.4h,854,731,151,130
silvertip.76.11.unit.j.1h,11,9,0,0
mesquite.unit.2.2.2h,521,443,64,51
sunshine.54.2.21.1h,640,554,81,65
heron.54.2.4.unit.2h,1872,1533,321,252
aspen.55.1.30.unit.1hr,328,304,19,15
silvertip.76.13.unit.w.1h,237,204,22,18
guadalupe.29.4.1h,74,62,4,3
silvertip.76.7.unit.a.7h,730,619,65,50
heron.54.2.4.unit.1h,264,236,16,14
bullhead.state.55.1.45.unit.b.4h,119,106,4,4
hammerhead.54.1.47.1h,97,86,8,8
silvertip.76.9.unit.f.1h,76,67,9,6
emerald.city.56.2.37.1h,293,242,29,16
wheat.trust.1.52.2h,121,102,6,4
atomic.55.1.7.unit1h,184,163,11,10
silvertip.76.7.unit.a.10h,189,167,11,9
juniper.state.unit.2.3.4h,394,332,26,23
silvertip.76.7.unit.b.3h,111,107,2,2
outlaw.55.1.30.unit.1h,201,180,12,10
silvertip.76.7.unit.a.6h,286,254,28,26
stones.river.54.4.23.1h,144,116,6,5
wheat.trust.1.52.3h,106,91,4,3
silvertip.76.10.unit.g.1h,48,45,0,0
silvertip.76.17.unit.p.1h,115,106,25,24
zeman.3.16.2h,138,112,25,15
silvertip.76.14.v.1h,225,190,22,15
grey.bull.55.4.11.1h,162,142,15,12
silvertip.76.8 .d.1h,48,41,1,0
yellowjacket.ul.19.3.13h,318,271,22,16
silvertip.76.8.unit.c.1h,75,62,2,2
raybank.1.44.1h,148,83,21,5
cody.56.3.19.unit.b.1h,355,318,49,40
yeti.state.56.2.45.1h,191,165,22,20
big.horn.state.56.2.3h,309,276,45,37
arches.55.1.17.1h,153,130,17,13
knight.55.1.7.unit.1h,41,41,1,1
wheat.trust.1.36.5h,43,35,1,1
state.56.2.12.1h,496,447,102,91
zeman.3.16.3h,80,65,4,2
