wellname,NEC,bakken,three.forks,Unknown
en.dobrovolny.a.155.94.1324h.3.st,3.51e-05,0.6063200003333334,0.29616444433333333,0.09748044433333332
en.eva.156.94.1621h.1,0.20373416666666666,0.44889749999999995,0.22591916666666667,0.12144916666666666
en.hanson.156.94.3031h.2,0.0012877776666666665,0.33385222233333334,0.4657816666666667,0.1990783336666667
en.hanson.a.155.94.0607h.3,0.0006561113333333332,0.045861111333333336,0.5394833333333332,0.4139994443333333
en.hegland.155.94.0508h.2,0.00011201100000000001,0.6515097776666666,0.11727822233333333,0.2311
en.hegland.156.94.3229h.1,0.0009333330000000001,0.41888444433333333,0.4053255553333333,0.17485666666666666
en.jeffrey.a.155.94.2734h.8,0.058786666666666675,0.6607833333333333,0.011578,0.26885200000000004
en.joyce.156.94.1720h.1,0.0004933333333333334,0.9037055556666665,0.08817944466666666,0.007621666999999999
en.joyce.le.156.94.1721h.3,0.6616266666666667,0.011843333333333336,0.11170666666666668,0.21482333333333334
en.kiesel.155.94.1918h.4,0.0002391666666666667,0.0004508333333333333,0.8816191666666667,0.11769083333333334
en.neset.156.94.0706h.5,0.29476205133333333,0.3703153846666667,0.11533487166666667,0.2195876923333334
en.ortloff.156.94.2635h.3,0.15268380933333334,0.536272381,0.15773571433333333,0.153308095
en.ortloff.156.94.2635h.8,0.397237037,0.20824962966666669,0.08961407433333334,0.30489925933333334
en.person.a.156.94.1522h.1,0.1883875,0.27849666666666667,0.17635583333333335,0.35675999999999997
en.rice.155.94.0211h.1,0.11510717966666667,0.326125641,0.14029384600000003,0.41847333299999995
en.riersgard.156.1718h.1,0.00013055533333333332,0.06566722233333333,0.8360683333333334,0.09813388866666667
en.skabo.trust.155.93.0631h.4,0.055868889,0.021471852,0.6382422223333334,0.28441703700000004
en.wefald.156.94.1324h.2,0.278672,0.3573866666666667,0.27738666666666667,0.08655466666666667
