wellname,NEC,bakken,three.forks,Unknown
en.dobrovolny.a.155.94.1324h.3.st,3.47E-05,0.610914667,0.293037333,0.096013333
en.dobrovolny.a.155.94.1324h.3.st,3.73E-05,0.603662667,0.298584,0.097716
en.dobrovolny.a.155.94.1324h.3.st,3.33E-05,0.604382667,0.296872,0.098712
en.eva.156.94.1621h.1,0.2015225,0.4565125,0.22169,0.120275
en.eva.156.94.1621h.1,0.205865,0.44829,0.225415,0.12043
en.eva.156.94.1621h.1,0.203815,0.44189,0.2306525,0.1236425
en.hanson.156.94.3031h.2,0.001291667,0.331136667,0.465875,0.201696667
en.hanson.156.94.3031h.2,0.001398333,0.333806667,0.467173333,0.197621667
en.hanson.156.94.3031h.2,0.001173333,0.336613333,0.464296667,0.197916667
en.hanson.a.155.94.0607h.3,0.000696667,0.04548,0.539803333,0.41402
en.hanson.a.155.94.0607h.3,0.00068,0.044756667,0.54084,0.413723333
en.hanson.a.155.94.0607h.3,0.000591667,0.047346667,0.537806667,0.414255
en.hegland.155.94.0508h.2,0.000109333,0.654333333,0.112382667,0.233174667
en.hegland.155.94.0508h.2,0.000128,0.653506667,0.116084,0.230281333
en.hegland.155.94.0508h.2,9.87E-05,0.646689333,0.123368,0.229844
en.hegland.156.94.3229h.1,0.000903333,0.41933,0.40854,0.171226667
en.hegland.156.94.3229h.1,0.001043333,0.424703333,0.398633333,0.17562
en.hegland.156.94.3229h.1,0.000853333,0.41262,0.408803333,0.177723333
en.jeffrey.a.155.94.2734h.8,0.06074,0.654774,0.016062,0.268424
en.jeffrey.a.155.94.2734h.8,0.054494,0.674338,0.009142,0.262026
en.jeffrey.a.155.94.2734h.8,0.061126,0.653238,0.00953,0.276106
en.joyce.156.94.1720h.1,0.000515,0.903071667,0.089381667,0.007031667
en.joyce.156.94.1720h.1,0.000463333,0.897088333,0.094236667,0.008211667
en.joyce.156.94.1720h.1,0.000501667,0.910956667,0.08092,0.007621667
en.joyce.le.156.94.1721h.3,0.66443,0.01054,0.10507,0.21996
en.joyce.le.156.94.1721h.3,0.66306,0.01249,0.10883,0.21562
en.joyce.le.156.94.1721h.3,0.65739,0.0125,0.12122,0.20889
en.kiesel.155.94.1918h.4,0.000205,0.0004525,0.8784475,0.120895
en.kiesel.155.94.1918h.4,0.0002375,0.0004325,0.881405,0.117925
en.kiesel.155.94.1918h.4,0.000275,0.0004675,0.885005,0.1142525
en.neset.156.94.0706h.5,0.293970769,0.372709231,0.114450769,0.218869231
en.neset.156.94.0706h.5,0.2958,0.367021538,0.116669231,0.220509231
en.neset.156.94.0706h.5,0.294515385,0.371215385,0.114884615,0.219384615
en.ortloff.156.94.2635h.3,0.152728571,0.535304286,0.158338571,0.153628571
en.ortloff.156.94.2635h.3,0.152468571,0.532735714,0.163337143,0.151458571
en.ortloff.156.94.2635h.3,0.152854286,0.540777143,0.151531429,0.154837143
en.ortloff.156.94.2635h.8,0.394622222,0.213366667,0.086575556,0.305435556
en.ortloff.156.94.2635h.8,0.400815556,0.207422222,0.088471111,0.303291111
en.ortloff.156.94.2635h.8,0.396273333,0.20396,0.093795556,0.305971111
en.person.a.156.94.1522h.1,0.191405,0.278015,0.1712325,0.3593475
en.person.a.156.94.1522h.1,0.186375,0.28539,0.1759675,0.3522675
en.person.a.156.94.1522h.1,0.1873825,0.272085,0.1818675,0.358665
en.rice.155.94.0211h.1,0.115050769,0.325004615,0.13984,0.420104615
en.rice.155.94.0211h.1,0.114155385,0.329355385,0.138384615,0.418104615
en.rice.155.94.0211h.1,0.116115385,0.324016923,0.142656923,0.417210769
en.riersgard.156.1718h.1,0.000175,0.06235,0.835151667,0.102323333
en.riersgard.156.1718h.1,0.000108333,0.065516667,0.838515,0.09586
en.riersgard.156.1718h.1,0.000108333,0.069135,0.834538333,0.096218333
en.skabo.trust.155.93.0631h.4,0.052186667,0.022237778,0.642317778,0.283257778
en.skabo.trust.155.93.0631h.4,0.06,0.019986667,0.635471111,0.284542222
en.skabo.trust.155.93.0631h.4,0.05542,0.022191111,0.636937778,0.285451111
en.wefald.156.94.1324h.2,0.287704,0.346786,0.277904,0.087606
en.wefald.156.94.1324h.2,0.269552,0.369834,0.27566,0.084954
en.wefald.156.94.1324h.2,0.27876,0.35554,0.278596,0.087104
